name,team,age,year
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedrero Antonio,Movistar Team,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedrero Antonio,Movistar Team,26,2018
Konrad Patrick,BORA - hansgrohe,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedrero Antonio,Movistar Team,26,2018
Konrad Patrick,BORA - hansgrohe,26,2018
Fonzi Giuseppe,Wilier Triestina - Selle Italia,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedrero Antonio,Movistar Team,26,2018
Konrad Patrick,BORA - hansgrohe,26,2018
Fonzi Giuseppe,Wilier Triestina - Selle Italia,26,2018
Elissonde Kenny,Team Sky,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedrero Antonio,Movistar Team,26,2018
Konrad Patrick,BORA - hansgrohe,26,2018
Fonzi Giuseppe,Wilier Triestina - Selle Italia,26,2018
Elissonde Kenny,Team Sky,26,2018
Brown Nathan,Team EF Education First-Drapac p/b Cannondale,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
Bonifazio Niccolò,Bahrain Merida Pro Cycling Team,24,2018
Venturini Clément,AG2R La Mondiale,24,2018
Vervaeke Louis,Team Sunweb,24,2018
Haig Jack,Mitchelton-Scott,24,2018
Andreetta Simone,Bardiani - CSF,24,2018
Mosca Jacopo,Wilier Triestina - Selle Italia,24,2018
van Poppel Danny,Team LottoNL-Jumbo,24,2018
Sénéchal Florian,Quick-Step Floors,24,2018
Carapaz Richard,Movistar Team,24,2018
Conti Valerio,UAE Team Emirates,25,2018
Formolo Davide,BORA - hansgrohe,25,2018
Simion Paolo,Bardiani - CSF,25,2018
Nibali Antonio,Bahrain Merida Pro Cycling Team,25,2018
Lutsenko Alexey,Astana Pro Team,25,2018
Quintana Dayer,Movistar Team,25,2018
Yates Simon,Mitchelton-Scott,25,2018
Frison Frederik,Lotto Fix All,25,2018
Turrin Alex,Wilier Triestina - Selle Italia,25,2018
Tonelli Alessandro,Bardiani - CSF,25,2018
Polanc Jan,UAE Team Emirates,25,2018
Bidard François,AG2R La Mondiale,26,2018
Senni Manuel,Bardiani - CSF,26,2018
Meintjes Louis,Team Dimension Data,26,2018
Bertazzo Liam,Wilier Triestina - Selle Italia,26,2018
Van Hoecke Gijs,Team LottoNL-Jumbo,26,2018
Campenaerts Victor,Lotto Fix All,26,2018
Maestri Mirco,Bardiani - CSF,26,2018
Pedrero Antonio,Movistar Team,26,2018
Konrad Patrick,BORA - hansgrohe,26,2018
Fonzi Giuseppe,Wilier Triestina - Selle Italia,26,2018
Elissonde Kenny,Team Sky,26,2018
Brown Nathan,Team EF Education First-Drapac p/b Cannondale,26,2018
Villella Davide,Astana Pro Team,26,2018
Pedersen Mads,Trek - Segafredo,22,2018
O'Connor Ben,Team Dimension Data,22,2018
Oomen Sam,Team Sunweb,22,2018
Cavagna Rémi,Quick-Step Floors,22,2018
Novak Domen,Bahrain Merida Pro Cycling Team,22,2018
Hamilton Chris,Team Sunweb,22,2018
Eg Niklas,Trek - Segafredo,23,2018
Hofstede Lennard,Team Sunweb,23,2018
Ciccone Giulio,Bardiani - CSF,23,2018
Sagiv Guy,Israel Cycling Academy,23,2018
Mohorič Matej,Bahrain Merida Pro Cycling Team,23,2018
Ballerini Davide,Androni Giocattoli - Sidermec,23,2018
Neilands Krists,Israel Cycling Academy,23,2018
Gibbons Ryan,Team Dimension Data,23,2018
Mullen Ryan,Trek - Segafredo,23,2018
Vendrame Andrea,Androni Giocattoli - Sidermec,23,2018
Carthy Hugh,Team EF Education First-Drapac p/b Cannondale,23,2018
Mareczko Jakub,Wilier Triestina - Selle Italia,24,2018
Jauregui Quentin,AG2R La Mondiale,24,2018
Würtz Schmidt Mads,Team Katusha Alpecin,24,2018
Niv Guy,Israel Cycling Academy,24,2018
Denz Nico,AG2R La Mondiale,24,2018
López Miguel Ángel,Astana Pro Team,24,2018
Frankiny Kilian,BMC Racing Team,24,2018
Schachmann Maximilian,Quick-Step Floors,24,2018
Großschartner Felix,BORA - hansgrohe,24,2018
Vliegen Loïc,BMC Racing Team,24,2018
Bouwman Koen,Team LottoNL-Jumbo,24,2018
Masnada Fausto,Androni Giocattoli - Sidermec,24,2018
