team,team_class,team_points,year,race
Astana Qazaqstan Team,WT,2041,2022,giro-d-italia
Team BikeExchange - Jayco,WT,2034,2022,giro-d-italia
Jumbo-Visma,WT,1998.8330000042915,2022,giro-d-italia
BORA - hansgrohe,WT,1887,2022,giro-d-italia
Israel - Premier Tech,WT,1880,2022,giro-d-italia
Intermarché - Wanty - Gobert Matériaux,WT,1819,2022,giro-d-italia
EF Education-EasyPost,WT,1806,2022,giro-d-italia
Groupama - FDJ,WT,1421,2022,giro-d-italia
Lotto Soudal,WT,1151,2022,giro-d-italia
EOLO-Kometa,PRT,920,2022,giro-d-italia
AG2R Citroën Team,WT,825,2022,giro-d-italia
UAE Team Emirates,WT,4478,2022,giro-d-italia
INEOS Grenadiers,WT,3044,2022,giro-d-italia
Quick-Step Alpha Vinyl Team,WT,2862,2022,giro-d-italia
Bahrain - Victorious,WT,2644,2022,giro-d-italia
Alpecin-Fenix,PRT,2499,2022,giro-d-italia
Trek - Segafredo,WT,2485,2022,giro-d-italia
Cofidis,WT,2324,2022,giro-d-italia
Team DSM,WT,2137,2022,giro-d-italia
Movistar Team,WT,2125,2022,giro-d-italia
Astana Qazaqstan Team,WT,2041,2022,giro-d-italia
Team BikeExchange - Jayco,WT,2034,2022,giro-d-italia
Jumbo-Visma,WT,1998.8330000042915,2022,giro-d-italia
BORA - hansgrohe,WT,1887,2022,giro-d-italia
Israel - Premier Tech,WT,1880,2022,giro-d-italia
Intermarché - Wanty - Gobert Matériaux,WT,1819,2022,giro-d-italia
EF Education-EasyPost,WT,1806,2022,giro-d-italia
Groupama - FDJ,WT,1421,2022,giro-d-italia
Lotto Soudal,WT,1151,2022,giro-d-italia
EOLO-Kometa,PRT,920,2022,giro-d-italia
AG2R Citroën Team,WT,825,2022,giro-d-italia
Bardiani-CSF-Faizanè,PRT,816,2022,giro-d-italia
UAE Team Emirates,WT,4478,2022,giro-d-italia
INEOS Grenadiers,WT,3044,2022,giro-d-italia
Quick-Step Alpha Vinyl Team,WT,2862,2022,giro-d-italia
Bahrain - Victorious,WT,2644,2022,giro-d-italia
Alpecin-Fenix,PRT,2499,2022,giro-d-italia
Trek - Segafredo,WT,2485,2022,giro-d-italia
Cofidis,WT,2324,2022,giro-d-italia
Team DSM,WT,2137,2022,giro-d-italia
Movistar Team,WT,2125,2022,giro-d-italia
Astana Qazaqstan Team,WT,2041,2022,giro-d-italia
Team BikeExchange - Jayco,WT,2034,2022,giro-d-italia
Jumbo-Visma,WT,1998.8330000042915,2022,giro-d-italia
BORA - hansgrohe,WT,1887,2022,giro-d-italia
Israel - Premier Tech,WT,1880,2022,giro-d-italia
Intermarché - Wanty - Gobert Matériaux,WT,1819,2022,giro-d-italia
EF Education-EasyPost,WT,1806,2022,giro-d-italia
Groupama - FDJ,WT,1421,2022,giro-d-italia
Lotto Soudal,WT,1151,2022,giro-d-italia
EOLO-Kometa,PRT,920,2022,giro-d-italia
AG2R Citroën Team,WT,825,2022,giro-d-italia
Bardiani-CSF-Faizanè,PRT,816,2022,giro-d-italia
Drone Hopper -  Androni Giocattoli,PRT,777,2022,giro-d-italia
