name,team,points,ranking,type,year
Sénéchal Florian,"Cofidis, Solutions Crédits",35,585,top-gc-riders,2016
Pichon Laurent,FDJ,31,638,top-gc-riders,2016
Keukeleire Jens,ORICA-BikeExchange,30,661,top-gc-riders,2016
Arashiro Yukiya,Lampre - Merida,30,656,top-gc-riders,2016
Cardis Romain,Direct Energie,26,705,top-gc-riders,2016
Hurel Tony,Direct Energie,25,756,top-gc-riders,2016
Rovny Ivan,Tinkoff,25,749,top-gc-riders,2016
Pellaud Simon,IAM Cycling,20,829,top-gc-riders,2016
Prades Eduard,Caja Rural - Seguros RGA,15,904,top-gc-riders,2016
Schwarzmann Michael,Bora - Argon 18,12,970,top-gc-riders,2016
Jauregui Quentin,AG2R La Mondiale,12,989,top-gc-riders,2016
Drucker Jempy,BMC Racing Team,502.8,32,top-sprinters,2016
Sbaragli Kristian,Team Dimension Data,483.8,36,top-sprinters,2016
van Genechten Jonas,IAM Cycling,406,47,top-sprinters,2016
Rojas José Joaquín,Movistar Team,389.8,50,top-sprinters,2016
Bonifazio Niccolò,Trek - Segafredo,378,54,top-sprinters,2016
Meersman Gianni,Etixx - Quick Step,335,61,top-sprinters,2016
Gilbert Philippe,BMC Racing Team,325.4,65,top-sprinters,2016
Bakelants Jan,AG2R La Mondiale,322,66,top-sprinters,2016
Valverde Alejandro,Movistar Team,305.8,70,top-sprinters,2016
Prades Eduard,Caja Rural - Seguros RGA,297,75,top-sprinters,2016
Bevin Patrick,Cannondale-Drapac Pro Cycling Team,290,78,top-sprinters,2016
Felline Fabio,Trek - Segafredo,280,84,top-sprinters,2016
Reijnen Kiel,Trek - Segafredo,277,86,top-sprinters,2016
Lampaert Yves,Etixx - Quick Step,253,101,top-sprinters,2016
Štybar Zdeněk,Etixx - Quick Step,248.4,104,top-sprinters,2016
Terpstra Niki,Etixx - Quick Step,232.4,122,top-sprinters,2016
Van der Sande Tosh,Lotto Soudal,230.2,125,top-sprinters,2016
Cort Magnus,ORICA-BikeExchange,227,130,top-sprinters,2016
Arndt Nikias,Team Giant - Alpecin,211,142,top-sprinters,2016
Farrar Tyler,Team Dimension Data,194.6,154,top-sprinters,2016
Waeytens Zico,Team Giant - Alpecin,181,165,top-sprinters,2016
Selig Rüdiger,Bora - Argon 18,178,169,top-sprinters,2016
Manzin Lorrenzo,FDJ,171,179,top-sprinters,2016
Battaglin Enrico,Team LottoNL-Jumbo,168,182,top-sprinters,2016
Moreno Daniel,Movistar Team,164.8,187,top-sprinters,2016
Bennati Daniele,Tinkoff,163.6,191,top-sprinters,2016
Mühlberger Gregor,Bora - Argon 18,163,194,top-sprinters,2016
Molard Rudy,"Cofidis, Solutions Crédits",157,200,top-sprinters,2016
Jauregui Quentin,AG2R La Mondiale,142,224,top-sprinters,2016
Kwiatkowski Michał,Team Sky,138,232,top-sprinters,2016
Haas Nathan,Team Dimension Data,134,243,top-sprinters,2016
Bilbao Pello,Caja Rural - Seguros RGA,129.6,256,top-sprinters,2016
Reza Kévin,FDJ,123.2,278,top-sprinters,2016
Thwaites Scott,Bora - Argon 18,123,281,top-sprinters,2016
Contador Alberto,Tinkoff,114.8,308,top-sprinters,2016
Anderson Ryan,Direct Energie,112,314,top-sprinters,2016
Fraile Omar,Team Dimension Data,112,316,top-sprinters,2016
Fernández Rubén,Movistar Team,107,329,top-sprinters,2016
Wallays Jelle,Lotto Soudal,102,350,top-sprinters,2016
Herklotz Silvio,Bora - Argon 18,96,371,top-sprinters,2016
Vanbilsen Kenneth,"Cofidis, Solutions Crédits",94,381,top-sprinters,2016
Cardis Romain,Direct Energie,94,380,top-sprinters,2016
Geniez Alexandre,FDJ,93.6,382,top-sprinters,2016
Le Bon Johan,FDJ,93,384,top-sprinters,2016
Campenaerts Victor,Team LottoNL-Jumbo,90,401,top-sprinters,2016
Eiking Odd Christian,FDJ,90,400,top-sprinters,2016
Froome Chris,Team Sky,87,419,top-sprinters,2016
Hardy Romain,"Cofidis, Solutions Crédits",85.5,427,top-sprinters,2016
Jeandesboz Fabrice,Direct Energie,85.2,428,top-sprinters,2016
Clarke Simon,Cannondale-Drapac Pro Cycling Team,85,430,top-sprinters,2016
Gołaś Michał,Team Sky,83,441,top-sprinters,2016
Barguil Warren,Team Giant - Alpecin,81.6,447,top-sprinters,2016
Sánchez Luis León,Astana Pro Team,77.2,470,top-sprinters,2016
Gogl Michael,Tinkoff,77,471,top-sprinters,2016
Laengen Vegard Stake,IAM Cycling,77,478,top-sprinters,2016
Teuns Dylan,BMC Racing Team,76,486,top-sprinters,2016
Pichon Laurent,FDJ,75,489,top-sprinters,2016
Mas Lluís,Caja Rural - Seguros RGA,74,494,top-sprinters,2016
Schwarzmann Michael,Bora - Argon 18,74,497,top-sprinters,2016
Gonçalves José,Caja Rural - Seguros RGA,73.6,499,top-sprinters,2016
Rolland Pierre,Cannondale-Drapac Pro Cycling Team,71,519,top-sprinters,2016
López Miguel Ángel,Astana Pro Team,70,527,top-sprinters,2016
Sénéchal Florian,"Cofidis, Solutions Crédits",69.6,530,top-sprinters,2016
Lagutin Sergey,Team Katusha ,68,541,top-sprinters,2016
King Ben,Cannondale-Drapac Pro Cycling Team,67,548,top-sprinters,2016
Gerrans Simon,ORICA-BikeExchange,64,576,top-sprinters,2016
Hurel Tony,Direct Energie,63,581,top-sprinters,2016
Restrepo Jhonatan,Team Katusha ,62,593,top-sprinters,2016
Madrazo Ángel,Caja Rural - Seguros RGA,61,595,top-sprinters,2016
Kochetkov Pavel,Team Katusha ,59,611,top-sprinters,2016
Wyss Danilo,BMC Racing Team,58,620,top-sprinters,2016
Bagdonas Gediminas,AG2R La Mondiale,58,621,top-sprinters,2016
Calmejane Lilian,Direct Energie,56,643,top-sprinters,2016
Moser Moreno,Cannondale-Drapac Pro Cycling Team,55,646,top-sprinters,2016
Keukeleire Jens,ORICA-BikeExchange,53.7,665,top-sprinters,2016
Arashiro Yukiya,Lampre - Merida,53,675,top-sprinters,2016
Arroyo David,Caja Rural - Seguros RGA,51,697,top-sprinters,2016
Zurlo Federico,Lampre - Merida,51,698,top-sprinters,2016
Latour Pierre,AG2R La Mondiale,50,703,top-sprinters,2016
Boaro Manuele,Tinkoff,50,701,top-sprinters,2016
Taaramäe Rein,Team Katusha ,48,728,top-sprinters,2016
van Garderen Tejay,BMC Racing Team,46.9,737,top-sprinters,2016
Bystrøm Sven Erik,Team Katusha ,45.4,750,top-sprinters,2016
Serry Pieter,Etixx - Quick Step,44.5,767,top-sprinters,2016
Hermans Ben,BMC Racing Team,44.2,769,top-sprinters,2016
König Leopold,Team Sky,43.2,782,top-sprinters,2016
Trofimov Yuri,Tinkoff,43,788,top-sprinters,2016
Ladagnous Matthieu,FDJ,43,785,top-sprinters,2016
Kruijswijk Steven,Team LottoNL-Jumbo,43,792,top-sprinters,2016
Gesink Robert,Team LottoNL-Jumbo,41.2,813,top-sprinters,2016
Conti Valerio,Lampre - Merida,39.8,832,top-sprinters,2016
Dillier Silvan,BMC Racing Team,39,843,top-sprinters,2016
Mendes José,Bora - Argon 18,38,856,top-sprinters,2016
Haig Jack,ORICA-BikeExchange,38,859,top-sprinters,2016
De Clercq Bart,Lotto Soudal,36,884,top-sprinters,2016
Nauleau Bryan,Direct Energie,35,917,top-sprinters,2016
Peraud Jean-Christophe,AG2R La Mondiale,34.8,921,top-sprinters,2016
Machado Tiago,Team Katusha ,34,938,top-sprinters,2016
Kennaugh Peter,Team Sky,32,973,top-sprinters,2016
Castroviejo Jonathan,Movistar Team,536,7,top-time-trial-riders,2016
van Emden Jos,Team LottoNL-Jumbo,362,11,top-time-trial-riders,2016
Kwiatkowski Michał,Team Sky,323,14,top-time-trial-riders,2016
Sánchez Luis León,Astana Pro Team,306,16,top-time-trial-riders,2016
Felline Fabio,Trek - Segafredo,290,19,top-time-trial-riders,2016
Campenaerts Victor,Team LottoNL-Jumbo,184,31,top-time-trial-riders,2016
Lampaert Yves,Etixx - Quick Step,183,32,top-time-trial-riders,2016
Le Bon Johan,FDJ,181,34,top-time-trial-riders,2016
Contador Alberto,Tinkoff,180,36,top-time-trial-riders,2016
Machado Tiago,Team Katusha ,179,37,top-time-trial-riders,2016
Keizer Martijn,Team LottoNL-Jumbo,171,40,top-time-trial-riders,2016
Quintana Nairo,Movistar Team,162,44,top-time-trial-riders,2016
Boaro Manuele,Tinkoff,130,58,top-time-trial-riders,2016
Valverde Alejandro,Movistar Team,127,63,top-time-trial-riders,2016
Gesink Robert,Team LottoNL-Jumbo,126,65,top-time-trial-riders,2016
Drucker Jempy,BMC Racing Team,123,68,top-time-trial-riders,2016
Terpstra Niki,Etixx - Quick Step,121,71,top-time-trial-riders,2016
Taaramäe Rein,Team Katusha ,114,78,top-time-trial-riders,2016
Kruijswijk Steven,Team LottoNL-Jumbo,111,82,top-time-trial-riders,2016
Gonçalves José,Caja Rural - Seguros RGA,110,83,top-time-trial-riders,2016
Rossetto Stéphane,"Cofidis, Solutions Crédits",105,90,top-time-trial-riders,2016
Peraud Jean-Christophe,AG2R La Mondiale,101,95,top-time-trial-riders,2016
Moser Moreno,Cannondale-Drapac Pro Cycling Team,97,98,top-time-trial-riders,2016
King Ben,Cannondale-Drapac Pro Cycling Team,96,100,top-time-trial-riders,2016
Zoidl Riccardo,Trek - Segafredo,94,101,top-time-trial-riders,2016
Talansky Andrew,Cannondale-Drapac Pro Cycling Team,92,102,top-time-trial-riders,2016
Sicard Romain,Direct Energie,92,103,top-time-trial-riders,2016
Grmay Tsgabu,Lampre - Merida,90,109,top-time-trial-riders,2016
Bevin Patrick,Cannondale-Drapac Pro Cycling Team,88,112,top-time-trial-riders,2016
König Leopold,Team Sky,84,120,top-time-trial-riders,2016
Monfort Maxime,Lotto Soudal,80,130,top-time-trial-riders,2016
Wallays Jelle,Lotto Soudal,80,131,top-time-trial-riders,2016
Yates Simon,ORICA-BikeExchange,76,137,top-time-trial-riders,2016
Ludvigsson Tobias,Team Giant - Alpecin,75,139,top-time-trial-riders,2016
Latour Pierre,AG2R La Mondiale,74,141,top-time-trial-riders,2016
Laengen Vegard Stake,IAM Cycling,69,151,top-time-trial-riders,2016
Irizar Markel,Trek - Segafredo,69,154,top-time-trial-riders,2016
Bennati Daniele,Tinkoff,68,158,top-time-trial-riders,2016
van Garderen Tejay,BMC Racing Team,68,159,top-time-trial-riders,2016
Gilbert Philippe,BMC Racing Team,63,172,top-time-trial-riders,2016
Meintjes Louis,Lampre - Merida,62,177,top-time-trial-riders,2016
Mühlberger Gregor,Bora - Argon 18,61,180,top-time-trial-riders,2016
Dillier Silvan,BMC Racing Team,61,182,top-time-trial-riders,2016
Devenyns Dries,IAM Cycling,61,184,top-time-trial-riders,2016
Puccio Salvatore,Team Sky,59,194,top-time-trial-riders,2016
Knees Christian,Team Sky,51,218,top-time-trial-riders,2016
Geniez Alexandre,FDJ,50,230,top-time-trial-riders,2016
Kudus Merhawi,Team Dimension Data,50,229,top-time-trial-riders,2016
Froome Chris,Team Sky,46,259,top-time-trial-riders,2016
Arndt Nikias,Team Giant - Alpecin,46,249,top-time-trial-riders,2016
De Clercq Bart,Lotto Soudal,46,245,top-time-trial-riders,2016
Frank Mathias,IAM Cycling,43,272,top-time-trial-riders,2016
De Gendt Thomas,Lotto Soudal,42,279,top-time-trial-riders,2016
Bewley Sam,ORICA-BikeExchange,42,280,top-time-trial-riders,2016
Mendes José,Bora - Argon 18,38,316,top-time-trial-riders,2016
Bystrøm Sven Erik,Team Katusha ,38,317,top-time-trial-riders,2016
Warbasse Larry,IAM Cycling,38,314,top-time-trial-riders,2016
Morice Julien,Direct Energie,35,337,top-time-trial-riders,2016
Molard Rudy,"Cofidis, Solutions Crédits",34,343,top-time-trial-riders,2016
Bagdonas Gediminas,AG2R La Mondiale,34,351,top-time-trial-riders,2016
Smukulis Gatis,Astana Pro Team,33,357,top-time-trial-riders,2016
Gruzdev Dmitriy,Astana Pro Team,32,373,top-time-trial-riders,2016
Wyss Danilo,BMC Racing Team,32,368,top-time-trial-riders,2016
Clarke Simon,Cannondale-Drapac Pro Cycling Team,30,408,top-time-trial-riders,2016
Haig Jack,ORICA-BikeExchange,29,452,top-time-trial-riders,2016
Scarponi Michele,Astana Pro Team,28,457,top-time-trial-riders,2016
Haas Nathan,Team Dimension Data,26,478,top-time-trial-riders,2016
Štybar Zdeněk,Etixx - Quick Step,26,483,top-time-trial-riders,2016
Prades Eduard,Caja Rural - Seguros RGA,22,572,top-time-trial-riders,2016
Haga Chad,Team Giant - Alpecin,20,603,top-time-trial-riders,2016
Huzarski Bartosz,Bora - Argon 18,20,671,top-time-trial-riders,2016
Didier Laurent,Trek - Segafredo,20,637,top-time-trial-riders,2016
Tuft Svein,ORICA-BikeExchange,20,614,top-time-trial-riders,2016
Bonifazio Niccolò,Trek - Segafredo,18,694,top-time-trial-riders,2016
Cort Magnus,ORICA-BikeExchange,18,680,top-time-trial-riders,2016
López David,Team Sky,18,679,top-time-trial-riders,2016
Chaves Esteban,ORICA-BikeExchange,17,708,top-time-trial-riders,2016
Howson Damien,ORICA-BikeExchange,17,711,top-time-trial-riders,2016
Bilbao Pello,Caja Rural - Seguros RGA,17,710,top-time-trial-riders,2016
van Genechten Jonas,IAM Cycling,16,760,top-time-trial-riders,2016
Wyss Marcel,IAM Cycling,16,731,top-time-trial-riders,2016
Kennaugh Peter,Team Sky,14,819,top-time-trial-riders,2016
Ladagnous Matthieu,FDJ,14,834,top-time-trial-riders,2016
Zubeldia Haimar,Trek - Segafredo,13,845,top-time-trial-riders,2016
Serry Pieter,Etixx - Quick Step,13,841,top-time-trial-riders,2016
Sánchez Samuel,BMC Racing Team,12,873,top-time-trial-riders,2016
Bakelants Jan,AG2R La Mondiale,12,941,top-time-trial-riders,2016
Venter Jaco,Team Dimension Data,12,898,top-time-trial-riders,2016
Pellaud Simon,IAM Cycling,10,987,top-time-trial-riders,2016
Valverde Alejandro,Movistar Team,1287,2,best-classic-riders,2016
Štybar Zdeněk,Etixx - Quick Step,645,10,best-classic-riders,2016
Terpstra Niki,Etixx - Quick Step,632,11,best-classic-riders,2016
Gilbert Philippe,BMC Racing Team,570,13,best-classic-riders,2016
Moreno Daniel,Movistar Team,526,14,best-classic-riders,2016
Bakelants Jan,AG2R La Mondiale,515,15,best-classic-riders,2016
Felline Fabio,Trek - Segafredo,511,16,best-classic-riders,2016
Kwiatkowski Michał,Team Sky,459,22,best-classic-riders,2016
Bonifazio Niccolò,Trek - Segafredo,419,27,best-classic-riders,2016
Sbaragli Kristian,Team Dimension Data,321,41,best-classic-riders,2016
Lampaert Yves,Etixx - Quick Step,275,46,best-classic-riders,2016
Drucker Jempy,BMC Racing Team,270,50,best-classic-riders,2016
Meersman Gianni,Etixx - Quick Step,210,83,best-classic-riders,2016
Rojas José Joaquín,Movistar Team,206,86,best-classic-riders,2016
Prades Eduard,Caja Rural - Seguros RGA,194,89,best-classic-riders,2016
Keukeleire Jens,ORICA-BikeExchange,190,92,best-classic-riders,2016
Wallays Jelle,Lotto Soudal,188,93,best-classic-riders,2016
Madrazo Ángel,Caja Rural - Seguros RGA,185,96,best-classic-riders,2016
Arashiro Yukiya,Lampre - Merida,182,99,best-classic-riders,2016
Hermans Ben,BMC Racing Team,168,111,best-classic-riders,2016
Molard Rudy,"Cofidis, Solutions Crédits",165,112,best-classic-riders,2016
Meintjes Louis,Lampre - Merida,161,120,best-classic-riders,2016
Thwaites Scott,Bora - Argon 18,150,133,best-classic-riders,2016
Taaramäe Rein,Team Katusha ,150,134,best-classic-riders,2016
Barguil Warren,Team Giant - Alpecin,149,136,best-classic-riders,2016
Gesink Robert,Team LottoNL-Jumbo,136,147,best-classic-riders,2016
Bennati Daniele,Tinkoff,125,152,best-classic-riders,2016
Gołaś Michał,Team Sky,124,155,best-classic-riders,2016
Sénéchal Florian,"Cofidis, Solutions Crédits",123,157,best-classic-riders,2016
Geniez Alexandre,FDJ,123,158,best-classic-riders,2016
Gerrans Simon,ORICA-BikeExchange,115,170,best-classic-riders,2016
Haas Nathan,Team Dimension Data,107,181,best-classic-riders,2016
Fraile Omar,Team Dimension Data,107,180,best-classic-riders,2016
Manzin Lorrenzo,FDJ,101,193,best-classic-riders,2016
Herrada José,Movistar Team,100,197,best-classic-riders,2016
Teuns Dylan,BMC Racing Team,99,201,best-classic-riders,2016
van Genechten Jonas,IAM Cycling,97,203,best-classic-riders,2016
Yates Simon,ORICA-BikeExchange,95,207,best-classic-riders,2016
Clarke Simon,Cannondale-Drapac Pro Cycling Team,94,210,best-classic-riders,2016
Sánchez Luis León,Astana Pro Team,92,214,best-classic-riders,2016
König Leopold,Team Sky,91,217,best-classic-riders,2016
Van der Sande Tosh,Lotto Soudal,90,219,best-classic-riders,2016
Waeytens Zico,Team Giant - Alpecin,88,225,best-classic-riders,2016
Arndt Nikias,Team Giant - Alpecin,85,236,best-classic-riders,2016
Chaves Esteban,ORICA-BikeExchange,85,228,best-classic-riders,2016
Pichon Laurent,FDJ,85,232,best-classic-riders,2016
Jauregui Quentin,AG2R La Mondiale,85,230,best-classic-riders,2016
Dillier Silvan,BMC Racing Team,78,250,best-classic-riders,2016
Janse van Rensburg Jacques,Team Dimension Data,76,253,best-classic-riders,2016
Farrar Tyler,Team Dimension Data,73,260,best-classic-riders,2016
Formolo Davide,Cannondale-Drapac Pro Cycling Team,70,270,best-classic-riders,2016
Wyss Danilo,BMC Racing Team,70,271,best-classic-riders,2016
Battaglin Enrico,Team LottoNL-Jumbo,70,267,best-classic-riders,2016
Bagdonas Gediminas,AG2R La Mondiale,69,279,best-classic-riders,2016
Brambilla Gianluca,Etixx - Quick Step,69,275,best-classic-riders,2016
Devenyns Dries,IAM Cycling,66,287,best-classic-riders,2016
Cort Magnus,ORICA-BikeExchange,66,284,best-classic-riders,2016
Scarponi Michele,Astana Pro Team,63,295,best-classic-riders,2016
Lagutin Sergey,Team Katusha ,62,297,best-classic-riders,2016
Boaro Manuele,Tinkoff,60,306,best-classic-riders,2016
Le Bon Johan,FDJ,58,314,best-classic-riders,2016
Benedetti Cesare,Bora - Argon 18,56,324,best-classic-riders,2016
Jeandesboz Fabrice,Direct Energie,55,327,best-classic-riders,2016
Vanbilsen Kenneth,"Cofidis, Solutions Crédits",55,329,best-classic-riders,2016
Kudus Merhawi,Team Dimension Data,54,337,best-classic-riders,2016
Ladagnous Matthieu,FDJ,54,338,best-classic-riders,2016
Mendes José,Bora - Argon 18,53,339,best-classic-riders,2016
Maté Luis Ángel,"Cofidis, Solutions Crédits",53,342,best-classic-riders,2016
Reza Kévin,FDJ,51,356,best-classic-riders,2016
Sánchez Samuel,BMC Racing Team,50,362,best-classic-riders,2016
Machado Tiago,Team Katusha ,50,361,best-classic-riders,2016
Moser Moreno,Cannondale-Drapac Pro Cycling Team,46,381,best-classic-riders,2016
Bilbao Pello,Caja Rural - Seguros RGA,46,379,best-classic-riders,2016
Campenaerts Victor,Team LottoNL-Jumbo,46,378,best-classic-riders,2016
Anderson Ryan,Direct Energie,45,387,best-classic-riders,2016
Kochetkov Pavel,Team Katusha ,45,389,best-classic-riders,2016
Elissonde Kenny,FDJ,45,385,best-classic-riders,2016
Mühlberger Gregor,Bora - Argon 18,44,395,best-classic-riders,2016
Serry Pieter,Etixx - Quick Step,42,401,best-classic-riders,2016
Tankink Bram,Team LottoNL-Jumbo,42,402,best-classic-riders,2016
Laengen Vegard Stake,IAM Cycling,41,410,best-classic-riders,2016
Grmay Tsgabu,Lampre - Merida,40,418,best-classic-riders,2016
Trofimov Yuri,Tinkoff,37,438,best-classic-riders,2016
Pfingsten Christoph,Bora - Argon 18,37,435,best-classic-riders,2016
Kennaugh Peter,Team Sky,36,450,best-classic-riders,2016
Frank Mathias,IAM Cycling,35,457,best-classic-riders,2016
Kišerlovski Robert,Tinkoff,34,470,best-classic-riders,2016
Rolland Pierre,Cannondale-Drapac Pro Cycling Team,31,488,best-classic-riders,2016
Nauleau Bryan,Direct Energie,31,489,best-classic-riders,2016
Castroviejo Jonathan,Movistar Team,29,526,best-classic-riders,2016
Latour Pierre,AG2R La Mondiale,27,542,best-classic-riders,2016
Villella Davide,Cannondale-Drapac Pro Cycling Team,27,543,best-classic-riders,2016
Ludvigsson Tobias,Team Giant - Alpecin,27,540,best-classic-riders,2016
Bystrøm Sven Erik,Team Katusha ,25,572,best-classic-riders,2016
Kruijswijk Steven,Team LottoNL-Jumbo,25,560,best-classic-riders,2016
Conti Valerio,Lampre - Merida,24,580,best-classic-riders,2016
de Kort Koen,Team Giant - Alpecin,24,584,best-classic-riders,2016
Bevin Patrick,Cannondale-Drapac Pro Cycling Team,24,586,best-classic-riders,2016
Hurel Tony,Direct Energie,23,607,best-classic-riders,2016
Losada Alberto,Team Katusha ,22,614,best-classic-riders,2016
Rossetto Stéphane,"Cofidis, Solutions Crédits",22,618,best-classic-riders,2016
Vervaeke Louis,Lotto Soudal,22,623,best-classic-riders,2016
Puccio Salvatore,Team Sky,21,633,best-classic-riders,2016
Paulinho Sérgio Miguel,Tinkoff,21,625,best-classic-riders,2016
Irizar Markel,Trek - Segafredo,20,667,best-classic-riders,2016
Hansen Adam,Lotto Soudal,20,664,best-classic-riders,2016
King Ben,Cannondale-Drapac Pro Cycling Team,20,650,best-classic-riders,2016
Bouet Maxime,Etixx - Quick Step,19,671,best-classic-riders,2016
Eiking Odd Christian,FDJ,19,672,best-classic-riders,2016
Gogl Michael,Tinkoff,19,683,best-classic-riders,2016
